,Unnamed: 0,a01,aeu,totexp_m,hh_type,div,District,Upazila,Union,Village,lat1,long1,totexp_m_pc
5424,5425,5252.0,5.739999949932099,3650.4762115478497,3,60,91,9162,916242,91624201,25.1519444444444,92.005,-0.6648629196882092
5425,5426,5253.0,4.2399999201297796,4691.9048624038705,3,60,91,9162,916242,91624201,25.0977777777778,91.9783333333333,-0.024429056490808898
5426,5427,5254.0,3.8999999761581403,4022.5,3,60,91,9162,916242,91624201,25.1244444444444,92.0647222222222,-0.1267263421527278
5427,5428,5255.1,8.72999984025955,4647.64611816406,3,60,91,9162,916242,91624201,25.1125,92.0825,-0.8058412047112226
5428,5429,5255.2,4.29999995231628,2735.07928466797,3,60,91,9162,916242,91624201,25.1125,92.0825,-0.6647356983875644
5429,5430,5256.0,6.93999987840652,4897.55787658691,3,60,91,9162,916242,91624201,25.107222222222198,52.048333333333304,-0.5699722062972483
5430,5431,5257.0,3.82999992370605,2681.3331604003897,3,60,91,9162,916242,91624201,25.121388888888898,92.00305555555559,-0.577610701106461
5431,5432,5258.1,3.2399999499321,2832.58943939209,3,60,91,9162,916242,91624201,25.071388888888897,92.00388888888891,-0.3405911720070465
5432,5433,5258.2,2.27999997138977,1854.7419815063502,3,60,91,9162,916242,91624201,25.071388888888897,92.00388888888891,-0.42329423900915963
5433,5434,5259.0,2.9299999475479104,2629.58335876465,3,60,91,9162,916242,91624201,26.0752777777778,92.0005555555556,-0.30900191693951495
5434,5435,5260.0,6.55999994277954,4164.36351776123,3,60,91,9162,916242,91624201,25.1169444444444,92.0116666666667,-0.6664414533681214
5435,5436,5261.0,3.6999999284744303,2773.7798004150395,3,60,91,9162,916290,91629001,24.988888888888898,91.96388888888892,-0.510134899140706
5436,5437,5262.0,4.16999992728233,3644.95239257812,3,60,91,9162,916290,91629001,25.003333333333302,91.94888888888892,-0.3408180208691251
5437,5438,5263.1,2.8199999630451202,1686.45833969116,3,60,91,9162,916290,91629001,24.9688888888889,91.9722222222222,-0.7164892841719375
5438,5439,5263.2,3.36999994516373,2167.29166793823,3,60,91,9162,916290,91629001,24.9688888888889,91.9722222222222,-0.6551439424416597
5439,5440,5264.0,3.1999999284744303,2906.66667556763,3,60,91,9162,916290,91629001,24.9688888888889,91.9708333333333,-0.29421670099449015
5440,5441,5265.0,5.35999995470047,3743.58630371094,3,60,91,9162,916290,91629001,24.9852777777778,91.96194444444441,-0.5798652565935557
5441,5442,5266.1,3.7799999117851297,1664.9106731414802,3,60,91,9162,916290,91629001,24.9794444444444,91.96722222222219,-0.9309366453356687
5442,5443,5266.2,2.09999996423721,1398.1746025085401,3,60,91,9162,916290,91629001,24.9794444444444,91.96722222222219,-0.6242739693298481
5443,5444,5267.0,4.9099999666214,4872.51975631714,3,60,91,9162,916290,91629001,24.9855555555556,91.95388888888891,-0.1798593356826718
5444,5445,5268.0,3.04999998211861,2473.17559432983,3,60,91,9162,916290,91629001,24.9797222222222,91.9408333333333,-0.4268407563740547
5445,5446,5269.0,,0.0,3,60,91,9162,916290,91629001,25.003333333333302,91.9180555555556,
5446,5447,5270.0,2.6799999475479104,2858.4723052978497,3,60,91,9162,916290,91629001,24.991111111111103,91.9369444444444,-0.07884600020621428
5447,5448,5271.0,4.05000001192093,2751.5356597900395,3,60,91,9162,916290,91629001,25.0119444444444,91.9269444444444,-0.6057743413928908
5448,5449,5272.0,,0.0,3,60,91,9162,916290,91629001,25.005555555555603,91.9116666666667,
5449,5450,5273.0,3.8999999761581403,2810.77375793457,3,60,91,9162,916290,91629001,24.970833333333303,91.96611111111109,-0.5495440338417401
5450,5451,5274.0,3.8199999332427996,2412.41662597656,3,60,91,9162,916290,91629001,24.9897222222222,91.925,-0.6709170876080026
5451,5452,5275.0,3.5699999034404803,2616.94282531738,3,60,91,9162,916290,91629001,24.981666666666698,91.93361111111109,-0.5327700795625455
5452,5453,5276.0,2.45999997854233,2570.56547546387,3,60,91,9162,916290,91629001,25.0286111111111,91.9191666666667,-0.10830702696790794
5453,5454,5277.0,3.43999993801117,2851.30944442749,3,60,91,9162,916290,91629001,24.9927777777778,91.95,-0.40235645978038315
5454,5455,5278.0,2.87999993562698,2960.8531627654997,3,60,91,9162,916290,91629001,24.9952777777778,91.94361111111108,-0.13126647498788313
5455,5456,5279.0,6.15000000596046,4824.58333969116,3,60,91,9162,916290,91629001,25.0280555555556,91.93138888888892,-0.4627567654948107
5456,5457,5280.0,4.24999994039536,2094.4048385620104,3,60,91,9162,916290,91629001,24.9608333333333,91.9722222222222,-0.8596975960522435
5538,5539,5361.0,2.55999994277954,2982.03375244141,3,30,93,9357,935721,93572101,24.6563888888889,90.065,0.05487584451698266
5539,5540,5362.0,2.77999997138977,2174.82147216797,3,30,93,9357,935721,93572101,24.666388888888896,90.06555555555549,-0.46571691355764183
5540,5541,5363.0,,0.0,3,30,93,9357,935721,93572101,24.6727777777778,90.0944444444444,
5541,5542,5364.0,3.46999993920326,3334.25895023346,3,30,93,9357,935721,93572101,24.6652777777778,90.0994444444444,-0.22270598854889223
5542,5543,5365.0,3.77999997138977,2770.02384471893,3,30,93,9357,935721,93572101,24.655,90.1152777777778,-0.5330785582356979
5543,5544,5366.0,2.14999997615814,3025.57934570312,3,30,93,9357,935721,93572101,24.6605555555556,90.13388888888892,0.3847335387619399
5544,5545,5367.0,3.04000002145767,3525.4316196441705,3,30,93,9357,935721,93572101,24.6441666666667,90.1152777777778,0.047832696615081265
5545,5546,5368.0,2.79999995231628,2544.58333206177,3,30,93,9357,935721,93572101,24.6280555555556,90.10694444444441,-0.29360918546982123
5546,5547,5369.0,3.5699999332427996,2551.45831298828,3,30,93,9357,935721,93572101,24.619444444444397,90.1016666666667,-0.5577323323222964
5547,5548,5370.0,4.68999993801117,3388.5535678863503,3,30,93,9357,935721,93572101,24.5966666666667,90.08138888888891,-0.5471014595166626
5548,5549,5371.0,2.8899999558925598,3075.35712432861,3,30,93,9357,935721,93572101,24.603333333333303,90.0875,-0.08218927119392097
5549,5550,5372.0,3.00999999046326,2696.1160717010503,3,30,93,9357,935721,93572101,24.6102777777778,90.09666666666669,-0.3113822112807595
5550,5551,5373.1,1.5099999904632602,1862.50002288818,3,30,93,9357,935721,93572101,24.5830555555556,90.0730555555556,0.14821279315850827
5551,5552,5373.2,2.7399999499321,2279.07739257812,3,30,93,9357,935721,93572101,24.585,90.07138888888892,-0.39839493560435946
5552,5553,5374.0,2.31999999284744,3570.91272354126,3,30,93,9357,935721,93572101,24.581111111111102,90.06388888888891,0.5642857306278833
5553,5554,5375.0,1.02999997138977,2236.6666641235397,3,30,93,9357,935721,93572101,24.5794444444444,90.07055555555559,1.4248041431569636
5554,5555,5376.0,3.0599999427795397,2896.81537818909,3,30,93,9357,935721,93572101,24.7966666666667,90.0197222222222,-0.242043594123268
5555,5556,5377.0,1.29000002145767,1296.36903381348,3,30,93,9357,935721,93572101,24.779444444444398,90.2655555555556,-0.1627524315199731
5556,5557,5378.0,3.8099999427795397,3271.3779983520503,3,30,93,9357,935721,93572101,24.7652777777778,90.2552777777778,-0.3618567829133929
5557,5558,5379.0,2.5399999618530296,5817.3810043335,3,30,93,9357,935721,93572101,24.7669444444444,90.2916666666667,1.586455757641498
5558,5559,5380.0,2.34999996423721,3743.4921073913597,3,30,93,9357,935721,93572101,24.7655555555556,90.03027777777781,0.6374848113335823
5599,5600,5421.0,2.62999993562698,2308.88891601562,3,30,93,9376,937687,93768701,24.246388888888898,89.9055555555556,-0.3356260236316913
5600,5601,5422.0,2.74999994039536,1856.1110839843802,3,30,93,9376,937687,93768701,24.2577777777778,89.92,-0.6118193047885746
5601,5602,5423.0,1.8299999833107001,2789.62298583984,3,30,93,9376,937687,93768701,24.251666666666697,89.91611111111109,0.5441417946927166
5602,5603,5424.0,2.62999993562698,3206.9443359375,3,30,93,9376,937687,93768701,24.240277777777802,89.9116666666667,0.1290611040997416
5603,5604,5425.0,1.8499999642372098,1987.4999504089399,3,30,93,9376,937687,93768701,24.2230555555556,89.9352777777778,-0.068326348334941
5604,5605,5426.0,1.85999995470047,1827.08333206177,3,30,93,9376,937687,93768701,24.220833333333303,89.9125,-0.1935545686729754
5605,5606,5427.0,2.1700000166893,7181.32931613922,3,30,93,9376,937687,93768701,24.231666666666698,90.13194444444441,2.973254185632418
5606,5607,5428.0,2.49999994039536,2895.13873291016,3,30,93,9376,937687,93768701,24.2291666666667,90.1202777777778,0.0456200415508372
5607,5608,5429.0,3.3700000047683702,3421.6516494751,3,30,93,9376,937687,93768701,24.233333333333302,90.1155555555555,-0.14861354008005775
5608,5609,5430.0,2.58999997377396,3083.88879394531,3,30,93,9376,937687,93768701,24.213333333333303,90.1,0.09003188422841132
5609,5610,5431.1,2.68999999761581,2697.67854499817,3,30,93,9376,937687,93768701,24.2425,90.1027777777778,-0.16558674801751305
5610,5611,5431.2,2.05000001192093,3774.58323287964,3,30,93,9376,937687,93768701,24.290555555555603,90.10694444444441,0.975365385851517
5611,5612,5431.3,1.2399999797344199,1591.79166412354,3,30,93,9376,937687,93768701,24.2919444444444,90.1041666666667,0.21660855582723978
5612,5613,5432.0,5.709999889135361,3211.84522819519,3,30,93,9376,937687,93768701,24.232222222222198,90.11138888888891,-0.7648543386291377
5613,5614,5433.0,3.15999990701675,2853.33337020874,3,30,93,9376,937687,93768701,24.22,90.10777777777781,-0.3015377591589514
5614,5615,5434.0,4.5999999642372105,2937.2915802002003,3,30,93,9376,937687,93768701,24.2144444444444,90.1147222222222,-0.6613652636697397
5615,5616,5435.0,2.3299999833107,4157.5694732666,3,30,93,9376,937687,93768701,24.215,90.12138888888892,0.8979385999697393
5616,5617,5436.1,3.8699999749660496,5538.46225357056,3,30,93,9376,937687,93768701,24.208888888888897,90.10444444444441,0.417232198680716
5617,5618,5436.2,2.9499999880790697,6146.9642791748,3,30,93,9376,937687,93768701,24.205833333333302,90.1022222222222,1.305314731262273
5618,5619,5437.0,3.2699999213218702,2761.97918701172,3,30,93,9376,937687,93768701,24.2105555555556,90.0925,-0.3808917149729284
5619,5620,5438.0,3.43999999761581,2492.41072463989,3,30,93,9376,937687,93768701,24.2197222222222,90.12861111111108,-0.544336327948183
5620,5621,5439.0,2.5799999833107,1954.2757930755604,3,30,93,9376,937687,93768701,24.1061111111111,90.13944444444441,-0.49951881941295956
5621,5622,5440.0,1.85999995470047,1670.35710525513,3,30,93,9376,937687,93768701,24.1438888888889,89.91,-0.3082225022800824
5622,5623,5441.0,2.02999997138977,1433.3482627868698,3,30,93,9385,938581,93858103,24.4794444444444,90.31555555555559,-0.5694511285673562
5623,5624,5442.0,4.0699999332428,8923.30951690674,3,30,93,9385,938581,93858103,24.5236111111111,90.3211111111111,1.4532982017504958
5624,5625,5443.0,3.1499999165535004,2513.15481567383,3,30,93,9385,938581,93858103,24.608333333333302,90.3663888888889,-0.44460038195449963
5625,5626,5444.0,2.62999993562698,3852.4851684570294,3,30,93,9385,938581,93858103,24.622777777777802,90.3552777777778,0.4630878341237728
5626,5627,5445.0,3.8099999427795397,2652.93153953552,3,30,93,9385,938581,93858103,24.623333333333303,90.36888888888892,-0.5827540688148082
5627,5628,5446.0,2.3299999535083797,2861.51287841797,3,30,93,9385,938581,93858103,24.6077777777778,90.33444444444442,0.14096405082844635
5628,5629,5447.0,5.41999989748001,2656.95936203003,3,30,93,9385,938581,93858103,24.5711111111111,90.34194444444451,-0.8632184544917428
5629,5630,5448.0,3.06000000238419,3506.5923309326195,3,30,93,9385,938581,93858103,24.4844444444444,90.29055555555558,0.02913960548493769
5630,5631,5449.1,1.85999995470047,2988.52683639526,3,30,93,9385,938581,93858103,24.503333333333302,90.29777777777781,0.6562095668959277
5631,5632,5449.2,2.30999997258186,2393.34325408936,3,30,93,9385,938581,93858103,24.503333333333302,90.29777777777781,-0.1203723804883404
5632,5633,5450.0,3.56000000238419,3237.0,3,30,93,9385,938581,93858103,24.54,90.28305555555559,-0.29294252036220936
5633,5634,5451.0,2.62999993562698,2634.75198745728,3,30,93,9385,938581,93858103,24.5475,90.2208333333333,-0.1670124043128175
5634,5635,5452.1,2.20999997854233,2478.77976608276,3,30,93,9385,938581,93858103,24.586666666666698,90.46777777777781,-0.003963829982253416
5635,5636,5452.2,1.8499999642372098,3382.26188278198,3,30,93,9385,938581,93858103,24.586666666666698,90.46777777777781,0.9576600597415451
5636,5637,5453.0,2.80999997258186,2387.33631896973,3,30,93,9385,938581,93858103,24.5825,90.26472222222219,-0.37416374420580956
5637,5638,5454.0,3.8099999129772204,3246.04769897461,3,30,93,9385,938581,93858103,24.525555555555602,90.4675,-0.37090427392085895
5638,5639,5455.0,2.4299999475479104,2392.8769826889,3,30,93,9385,938581,93858103,24.53,90.4425,-0.1902610593634341
5639,5640,5456.0,5.01999995112419,3515.0992584228497,3,30,93,9385,938581,93858103,24.5355555555556,90.40777777777781,-0.5774310927072704
5640,5641,5457.0,2.8299999833107,1829.88095092773,3,30,93,9385,938581,93858103,24.4802777777778,90.22888888888892,-0.6503975623753402
5641,5642,5458.0,4.3499999642372105,4977.86307263374,3,30,93,9385,938581,93858103,24.486944444444397,90.27444444444441,0.026950176915838314
5642,5643,5459.0,2.70999997854233,1839.1666240692102,3,30,93,9385,938581,93858103,24.4652777777778,90.30361111111108,-0.6067708207024379
5643,5644,5460.0,1.5099999904632602,2200.6546859741197,3,30,93,9385,938581,93858103,24.4461111111111,90.31111111111109,0.4529683814300831
5644,5645,5461.0,4.44999998807907,3558.7996463775603,3,55,94,9408,940884,94088401,26.2341666666667,88.5441666666667,-0.4420102406476047
5645,5646,5462.0,3.2699999213218702,2479.22621917725,3,55,94,9408,940884,94088401,26.2366666666667,88.53027777777781,-0.4985635894656874
5646,5647,5463.0,4.989999949932099,2407.81737518311,3,55,94,9408,940884,94088401,26.2111111111111,88.4908333333333,-0.8736771713274661
5647,5648,5464.0,2.58999997377396,2101.86511993408,3,55,94,9408,940884,94088401,26.2266666666667,88.5319444444444,-0.42595117111015424
5648,5649,5465.0,4.44999998807907,3145.87301063538,3,55,94,9408,940884,94088401,26.189166666666697,88.4766666666667,-0.5682877856093214
5649,5650,5466.0,2.30999997258186,2524.88086700439,3,55,94,9408,940884,94088401,26.205555555555602,88.48861111111108,-0.042881387984679505
5650,5651,5467.0,1.64999997615814,5224.28555297852,3,55,94,9408,940884,94088401,26.196388888888897,88.48,2.7784681148107166
5651,5652,5468.0,2.4899999499321,1855.58333444595,3,55,94,9408,940884,94088401,26.3594444444444,88.4380555555556,-0.5161989228328047
5652,5653,5469.0,2.67999997735023,2162.08329200745,3,55,94,9408,940884,94088401,26.34,88.4475,-0.43246075842152654
5653,5654,5470.1,2.20999997854233,1856.825340271,3,55,94,9408,940884,94088401,26.341388888888897,88.4055555555556,-0.38694686371589143
5654,5655,5470.2,4.17999994754791,2041.42861938477,3,55,94,9408,940884,94088401,26.3405555555556,88.4058333333333,-0.8657140733440327
