a01,aeu,totexp_m,div,district,hh_type,lat1,long1,totexp_m_pc
332,4.549999952,18043.88833,10,9,national representative,22.66305556,90.78166667,3965.689784
333,4.599999905,16623.15626,10,9,national representative,22.87055556,90.81888889,3613.729696
334,3.909999967,28099.93206,10,9,national representative,22.82944444,90.81,7186.683452
335,1.829999983,3051.797196,10,9,national representative,22.81611111,90.80416667,1667.648756
336,4.769999921,9301.696491,10,9,national representative,22.81916667,90.80166667,1950.041225
337,2.729999959,10742.33597,10,9,national representative,22.79833333,90.795,3934.92166
338,4.169999927,7136.722928,10,9,national representative,22.80944444,90.80527778,1711.444377
339,4.129999936,10330.59626,10,9,national representative,22.81638889,90.81722222,2501.355064
340,2.789999962,16875.46596,10,9,national representative,22.84222222,90.8425,6048.55419
341,2.729999959,6996.627785,10,9,national representative,22.40277778,91.0725,2562.867358
342,3.039999992,4260.106703,10,9,national representative,22.40361111,90.89444444,1401.350893
343,3.810000002,5409.349218,10,9,national representative,22.44388889,91.20305556,1419.776697
344,2.709999979,5147.875616,10,9,national representative,22.44444444,91.20444444,1899.585113
345,2.00999999,6931.592199,10,9,national representative,22.47972222,91.03888889,3448.553349
346,2.889999926,7275.1729,10,9,national representative,22.48416667,91.10111111,2517.360929
347,3.709999919,15328.57345,10,9,national representative,22.48472222,91.07694444,4131.691046
348,3.189999998,11678.5034,10,9,national representative,22.51722222,91.06416667,3660.972854
