a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
261,2.859999925,2475.029816,2,10,6,23.03972222,90.35972222,865.3950632
262,3.599999964,3379.848263,2,10,6,23.03166667,90.35305556,938.846749
263,5.919999868,3131.666542,2,10,6,23.06972222,90.35861111,528.9977385
264,3.449999988,2465.892873,2,10,6,23.055,90.33833333,714.7515598
265,0.829999983,6402.976217,2,10,6,23.04888889,90.30805556,7714.429333
266,3.599999905,2772.485207,2,10,6,23.05972222,90.30555556,770.1348
267,3.089999974,2213.645844,2,10,6,23.07166667,90.33055556,716.3902467
268,3.73999992,4277.190369,2,10,6,22.86027778,90.29361111,1143.633813
269,5.589999974,3626.666603,2,10,6,22.86055556,90.29583333,648.7775707
270,3.919999897,3379.166595,2,10,6,22.85333333,90.31416667,862.0323173
271,5.089999914,2594.999836,2,10,6,22.85777778,90.32027778,509.8231591
272,1.779999971,2081.388885,2,10,6,23.10305556,90.33194444,1169.319617
273,1.75,1720.892822,2,10,6,23.09666667,90.35083333,983.367327
274,2.449999988,1764.295628,2,10,6,23.09416667,90.35527778,720.1206678
275,3.119999945,2606.93454,2,10,6,23.08861111,90.35027778,835.555957
276,4.169999927,4908.809742,2,10,6,23.10555556,90.37194444,1177.172621
277,1.859999955,5303.630775,2,10,6,23.09555556,90.37138889,2851.414465
278,5.139999896,2785.392852,2,10,6,23.10611111,90.38027778,541.905235
279,4.399999917,2869.857147,2,10,6,23.0925,90.37416667,652.2402731
280,6.699999899,3135.624987,2,10,6,23.07805556,90.37388889,468.0037364
281,3.719999969,4309.654753,2,10,9,22.75027778,90.80916667,1158.509352
282,8.299999893,5395.035778,2,10,9,22.74111111,90.80444444,650.004319
283,NA,0,2,10,9,22.73472222,90.79805556,NA
284,2.25,1793.958365,2,10,9,22.74083333,90.78916667,797.3148291
285,2.339999974,1853.075409,2,10,9,22.72861111,90.79083333,791.9125768
286,5.909999937,4562.961224,2,10,9,22.72055556,90.7925,772.0746654
